id,tag,n_tokens
g1,math_reasoning,443
g2,math_reasoning,361
g3,math_reasoning,402
g4,math_reasoning,323
g5,math_reasoning,362
g6,math_competition,640
g7,math_competition,877
g8,math_competition,1663
g9,math_competition,1136
g10,math_competition,960
g11,math_hard,722
g12,math_hard,650
g13,math_hard,1226
g14,math_hard,362
g15,math_competition_hard,732
g16,math_competition_hard,512
g17,math_competition_hard,737
g18,math_competition_hard,328
g19,math_olympiad,2513
g20,math_olympiad,2511
g21,math_olympiad,2345
g22,math_olympiad,2378
g23,code_generation,633
g24,code_generation,689
g25,code_generation,1239
g26,code_generation,727
g27,code_generation,930
g28,code_generation,772
g29,code_generation,922
g30,code_generation,930
g31,code_generation,688
g32,code_generation,845
g33,code_generation,789
g34,software_engineering,790
g35,software_engineering,1010
g36,software_engineering,672
g37,software_engineering,824
g38,software_engineering,809
g39,software_engineering,924
g40,software_engineering,651
g41,software_engineering,1116
g42,software_engineering,651
g43,software_engineering,748
g44,general_knowledge,799
g45,general_knowledge,263
g46,general_knowledge,741
g47,general_knowledge,490
g48,general_knowledge,2125
g49,general_knowledge,136
g50,general_knowledge,125
g51,reasoning,1135
g52,reasoning,269
g53,reasoning,647
g54,reasoning,593
g55,reasoning,429
g56,reasoning,536
g57,reasoning,317
g58,science,139
g59,science,753
g60,science,1496
g61,science,551
g62,science,634
g63,science,227
g64,science,480
g65,benchmark_qa,509
g66,benchmark_qa,331
g67,benchmark_qa,234
g68,science_math,2868
g69,science_math,726
g70,science_math,641
g71,general_qa,592
g72,general_qa,819
g73,general_qa,946
g74,general_preference,559
g75,general_preference,306
g76,general_preference,392
g77,post_training,1038
g78,post_training,295
g79,post_training,1240
g80,general_conversation,137
g81,general_conversation,604
g82,general_conversation,435
g83,human_preferred,477
g84,human_preferred,227
g85,high_reasoning,14062
g86,high_reasoning,806
g87,tool_use,441
g88,tool_use,910
g89,tool_use,1056
g90,tool_use,1457
g91,tool_use,1542
g92,tool_use,503
g93,tool_use,1096
g94,tool_use,880
g95,function_calling,138
g96,function_calling,168
g97,function_calling,489
g98,function_calling,478
g99,function_calling,118
g100,function_calling,280
g101,function_calling,346
g102,function_calling,47
g103,function_calling,23
g104,function_calling,26
g105,function_calling,31
g106,function_calling,33
g107,function_calling,19
g108,function_calling,57
g109,instruction_following,486
g110,instruction_following,503
g111,instruction_following,430
g112,instruction_following,197
g113,instruction_following,141
g114,instruction_following,490
g115,instruction_following,102
g116,instruction_following,510
g117,instruction_following,248
g118,instruction_following,251
g119,instruction_following,653
g120,instruction_following,243
g121,instruction_following,546
g122,instruction_following,259
g123,instruction_following,694
g124,instruction_following,104
g125,instruction_following,898
g126,instruction_following,464
g127,instruction_following,2310
g128,instruction_following,337
g129,instruction_following,460
g130,truthfulness,33
g131,truthfulness,57
g132,truthfulness,69
g133,truthfulness,73
g134,truthfulness,65
g135,truthfulness,59
g136,truthfulness,63
g137,truthfulness,102
g138,truthfulness,69
g139,truthfulness,91
g140,truthfulness,49
g141,truthfulness,59
g142,truthfulness,59
g143,truthfulness,108
g144,truthfulness,103
g145,truthfulness,35
g146,truthfulness,88
g147,truthfulness,120
g148,truthfulness,77
g149,truthfulness,72
g150,truthfulness,123
g151,truthfulness,50
g152,long_context_qa,885
g153,long_context_qa,764
g154,long_context_narrative,749
g155,long_context_narrative,747
g156,long_context_qa,1003
g157,long_context_summarization,894
g158,long_context_qa,919
g159,long_context_qa,768
g160,long_context_qa,1146
g161,long_context_qa,977
g162,long_context_qa,1055
g163,long_context_retrieval,754
g164,long_context_retrieval,747
g165,long_context_retrieval,720
g166,long_context_retrieval,813
g167,long_context_retrieval,754
g168,long_context_multihop,507
g169,long_context_multihop,337
g170,long_context_multihop,511
g171,long_context_multihop,370
g172,long_context_multihop,394
g173,indic_hindi,81
g174,indic_tamil,157
g175,indic_telugu,112
g176,indic_bengali,199
g177,indic_instruction,455
g178,indic_instruction,171
g179,indic_instruction,198
g180,indic_instruction,572
g181,indic_hindi_qa,177
g182,indic_tamil_qa,226
g183,indic_telugu_qa,274
g184,indic_bengali_qa,223
g185,indic_hindi_nlu,135
g186,indic_tamil_nlu,184
g187,indic_hindi_nlu,135
g188,indic_cultural_knowledge,49
g189,indic_cultural_knowledge,107
g190,indic_cultural_knowledge,49
g191,indic_fairness,186
g192,indic_fairness,181
g193,indic_fairness,182
g194,indic_math_bn,125
g195,indic_math_bn,118
g196,indic_math_bn,97
g197,indic_math_bn,109
g198,indic_math_bn,118
g199,indic_math_bn,106
g200,indic_knowledge_hindi,78
g201,indic_knowledge_tamil,105
g202,indic_knowledge_telugu,103
g203,indic_knowledge_bengali,86
g204,indic_knowledge_kannada,97
g205,indic_instruction_native,706
g206,indic_instruction_native,169
g207,indic_instruction_native,370
g208,indic_instruction_native,414
g209,indic_instruction_native,185
g210,indic_cultural_gujarati,63
g211,indic_cultural_odia,82
g212,indic_cultural_punjabi,87
g213,indic_cultural_malayalam,100
g214,indic_cultural_kannada,104
g215,indic_translation_hindi_en,39
g216,indic_translation_tamil_en,59
g217,indic_translation_telugu_en,109
g218,indic_translation_bengali_en,110
g219,indic_translation_kannada_en,67
g220,indic_translation_hindi_en,99
g221,indic_translation_tamil_en,134
g222,indic_translation_telugu_en,51
g223,indic_translation_bengali_en,80
g224,indic_crosslingual_qa_bengali,316
g225,indic_crosslingual_qa_bengali,314
g226,indic_crosslingual_qa_bengali,322
g227,indic_crosslingual_qa_bengali,322
g228,indic_summarization_bn,525
g229,indic_summarization_bn,593
g230,indic_summarization_bn,560
g231,indic_summarization_bn,509
g232,indic_translation_hindi_en,153
